INDEX,1,2,3,4,5,6,7,8,9,10,11,12
0,Unit 1 명령문,Unit 1 Can’t you +V,Unit 1 May I +V,Unit 1 S+tried to +V,Unit 1 How can S+V,"Unit 1 현재 진행형(긍정, 의문문)",Unit 1 Review,"Unit 1 Doesn’t , 빈도부사","Unit 1 Be 동사 , 형용사","Unit 1 where to, what(명사)to+V",Unit 1 수동태 현재,Unit 1 Total review
1,Unit 2 부정명령문,Unit 2 S + can't + V,Unit 2 You may + V,Unit 2 S+tried not to +V,"Unit 2 S+can, can’t+V",Unit 2 현재 진행형(부정 의문문),Unit 2 Review,"Unit 2 S+doen’t, 빈도부사","Unit 2 Be 동사, 부사, 형용사","Unit 2 how to, when to+V",Unit 2 수동태 현재,Unit 2 Total review
2,"Unit 3 Please, 명령문",Unit 3 Do you want to+V,Unit 3 You must not + V,Unit 3 S+had better(not)+V,Unit 3 Will +S+V,Unit 3 현재 진행형(5W1H+ 의문문),Unit 3 Review,Unit 3 3인칭단수(conversations),Unit 3 Be 과거 동사,Unit 3 5W1H+V,Unit 3 수동태 현재,Unit 3 Total review
3,"Unit 4 Please, 부정 명령문",Unit 4 I want to+V,Unit 4 Do they +V,Unit 4 Review,"Unit 4 S+will(I’ll, won’t)+V",Unit 4 현재 진행형(it 비인칭주어),Unit 4 Review,Unit 4 3인칭단수(conversations),"Unit 4 비교급, 소유대명사",Unit 4 5W1H+V,Unit 4 수동태 조동사,Unit 4 Total review
4,Unit 5 Let’s +V,Unit 5 I don’t want to +V,"Unit 5 S+don’t +V, S+V",Unit 5 5W1H sentences,Unit 5 To 부정사 형용사적 용법,Unit 5 현재 진행형(소유격 명사를 주어로),Unit 5 Review,Unit 5 3인칭단수(conversations),"Unit 5 비교급, 비교급 강조",Unit 5 5W1H+V,Unit 5 수동태 조동사,Unit 5 Total review
5,Unit 6 Let’s not +V,Unit 6 Review,Unit 6 Review,Unit 6 5W1H sentences,Unit 6 To 부정사 형용사적 용법,"Unit 6 과거 진행형(긍정, 의문문)",Unit 6 Review,Unit 6 will(conversations),Unit 6 비교급 er (short conversations),"Unit 6 to 부정사를 목적격 보어를 취하는 동사 tell, ask",Unit 6 수동태 조동사,Unit 6 Total review
6,Unit 7 Why don’t you +V,Unit 7 Do you have to+V,Unit 7 Is+S+going to +V,Unit 7 5W1H sentences,Unit 7 To 부정사 형용사적 용법,Unit 7 과거 진행형(conversation),Unit 7 Review,"Unit 7 could, couldn’t(conversations)",Unit 7 비교급 more (short conversations),Unit 7 to 부정사를 목적격 보어를 취하는 동사 want,Unit 7 수동태 조동사,Unit 7 Total review
7,Unit 8 Review,Unit 8 I have to +V,Unit 8 S+is(isn't) going to+ V,Unit 8 Review,Unit 8 가산명사,"Unit 8 접속사, 의문사",Unit 8 Review,"Unit 8 So, But, Though, Because, In fact","Unit 8 최상급 the most, est, best","Unit 8 to 부정사를 목적격 보어를 취하는 동사 advise, order",Unit 8 수동태 과거,Unit 8 Total review
8,Unit 9 Do you+V,Unit 9 S+don’t have to+V,Unit 9 Are+S+going to+V,Unit 9 Review,Unit 9 불가산 명사,Unit 9 Review,Unit 9 Review,Unit 9 Review,Unit 9 Review (short conversations),Unit 9 부가 의문문 be 동사,Unit 9 Review,Unit 9 Total review
9,Unit 10 I + V,Unit 10 Did you have to+V,Unit 10 S+are going to+V,Unit 10 To 부정사 부사적 용법,"Unit 10 유도 부사 (현재형 단수 긍정, 의문,부정문)",Unit 10 Review,Unit 10 Review,Unit 10 Review,Unit 10 Review(short conversations),Unit 10 부가 의문문 조동사,Unit 10 소유대명사,Unit 10 Total review
10,Unit 11 Don’t you+V,Unit 11 I didn't have to+V,Unit 11 Review,Unit 11 Review+To 부정사 부사적 용법,"Unit 11 유도 부사 (현재형 단수 긍정, 의문,부정문)","Unit 11 Does, Do + S+V ?",Unit 11 Review,Unit 11 Review,Unit 11 Do you think(short conversations),Unit 11 will be able to,Unit 11 Review,Unit 11 Total review
11,Unit 12 I don’t +V,Unit 12 I had to +V,Unit 12 Can+S+V,Unit 12 Review+To 부정사 부사적 용법,"Unit 12 유도 부사 (현재형 단수 긍정, 의문,부정문)",Unit 12 Does Do + S+V ?,Unit 12 Review,Unit 12 Review,Unit 12 what+ s+v,"Unit 12 지각동사 see, saw, hear, heard",Unit 12 관계대명사,Unit 12 Total review
