INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,넌 a 키 큰 소녀니?,넌 오늘 아주 행복하니?,넌 1년 전에 a 친절한 소녀였니?,그녀는 너보다 더 더럽니?,넌 그녀보다 훨씬 더 귀엽니?,그들이 나보다 더 나이가 많았니?,이 소파가 저 돌보다 더 편안하니?,너의 차가 여기서 the 최고의 차니?,그의 입이 너의 입보다 크니?,이 사과가 저 사과보다 더 비싸니?,넌 그녀가 아름답다고 생각하니?,내가 매일 무엇을 하는지,내가 사과s를 먹는 the 운동장 ,네가 여기에 온 the 시간,나는 산다. ,넌 그가 수영할 수 있는지 없는지 알고 있니?,넌 그가 누구라고 생각하니?,이것은 a 아주 좋은 개가 아니다.,넌 왜 아침 먹기 전에 밖에 나갔니?,왜 그녀가 매일 영어를 공부하지 않니?,넌 누가 수영을 더 빨리할 수 있다고 생각하니?
1,난 a 키 큰 소녀다.,난 오늘 아주 행복해.,난 1년 전에 a 친절한 소녀였다.,그녀는 나보다 더 더러워.,난 그녀보다 훨씬 더 귀여워.,그들이 너 보다 나이가 더 많았다.,이 소파가 저 돌보다 더 편안해.,나의 차가 여기서 the 최고의 차다.,그의 입는 나의 입보다 훨씬 크다.,이 사과가 저 사과보다 더 비싸다.,난 그녀가 아름답다고 생각한다.,넌 내가 매일 무엇을 하는지 알고 있니? ,내가 a 요리법을 배우는 the 부엌,나는 네가 여기에 온 the 시간을 모른다.,내가 어디에 사는지,난 그가 수영할 수 있는지 없는지 몰라.,넌 그녀가 왜 여기에 있다고 생각하니?,그의 엄마는 젊니?,어떤 사람이 the 문을 노크해서,난 몰라. 그녀에게 물어봐라.,넌 이문제가 저 문제보다 더 어렵다고 생각하니?
2,난 키 큰 소녀가 아니다.,난 오늘 아주 행복하지 않다.,1년 전에 난 a 친절한 소녀가 아니었다.,그녀는 나보다 더 더럽지 않아.,난 그녀보다 훨씬 더 귀엽지 않아.,그들이 너 보다 나이가 더 많지 않았어.,이 소파가 저 돌보다 더 편안하지 않아.,나의 차가 여기서 the 최고의 차가 아니다.,그의 입는 나의 입보다 훨씬 크지 않아.,이 사과가 저 사과보다 더 비싸지 않아.,난 그녀가 아름답다고 생각하니 않아.,난 네가 매일 무엇을 하는지 몰라. ,내가 춤을 추는 the 교실 ,네가 처음으로 나와 춤을 춘 the 시간 ,너는 내가 어디에 사는지 알고 싶어?,난 그가 수영할 수 있는지 없는지 알아.,넌 내가 어디서 공부해야만 된다고 생각하니?,그의 엄마는 아주 젊다.,넌 오늘 오후에 그녀를 만날 거니?,그들은 매일 밤 부재중 전화s를 확인하지 않니?,난 네가 몇 살인지 추측할 수 없다.
3,그녀가 a 아주 살찐 엄마니?,그녀가 아주 아프니?,그녀가 어제 a 아주 버릇없는 엄마였니?,그가 나보다 더 가난하니? ,네가 그보다 훨씬 더 가난하니? ,그녀가 너보다 더 무겁니?,그녀가 너보다 더 유명하니?,이것이 the 가장 나쁜 점수니?,그가 the 세계에서 the 최고의 가수니?,그녀는 한국에서 the 가장 유명한 가수니?,넌 네가 한국에서 the 가장 인기 있는 피아니스트라고 생각하니?,난 네가 매일 무엇을 하는지 알아. ,내가 노래하는 the 방 ,나는 네가 처음으로 나와 춤을 춘 the 시간을 모른다.,난 네가 어디에 사는지 알고 싶다.,넌 a개가 너의 엄마처럼 우는지 울지 않는지 알고 있니?,넌 그들이 언제 나와 춤 출수 있다고 생각하니?,그의 엄마는 아주 젊지 않아.,난 그녀에게 the 신문을 주기 위해 그녀를 만날 거야.,그녀는 매일 저녁 부재중 전화s를 확인하지 않니?,이것은 우리가 the 처음 만난 the 운동장이다.
4,그녀는 a 아주 살진 엄마다.,그녀가 아주 아파.,그녀는 어제 a 아주 버릇없는 엄마였다.,그는 나보다 더 가난하다.,난 그보다 훨씬 더 가난하다.,그녀가 나보다 더 무겁다.,그녀가 나 보다 더 유명하다.,이것이 the 가장 나쁜 점수다.,그가 the 세계에서 the 최고의 가수이다.,그녀는 한국에서 the 가장 유명한 가수다.,난 내가 한국에서 the 가장 인기 있는 피아니스트라고 생각해.,네가 사고 싶어 하는 것 ,내가 매일 공부하는 the 학교 ,그들이 널 도와준 the 날 ,그는 키 크다.,난 a 개가 나의 엄마처럼 우는지 울지 않는지 알아.,넌 그녀가 저녁으로 무얼 먹으리라고 생각하니?,당신의 나라가 한국보다 추워요?,넌 그 강도를 주먹으로 때리려고 여기 머무르려고 하니?,그는 매일 아침 부재중 전화s를 확인하지 않니?,난 그녀가 왜 a 나무 아래서 지금 울고 있는 the 이유를 모른다.
5,그녀는 a 아주 살찐 엄마가 아니다.,그녀는 아주 아프지 않아.,그녀는 어제 a 아주 버릇없는 엄마가 아니었다.,그는 나보다 더 가난하지 않아.,난 그보다 훨씬 더 가난하지 않아.,그녀가 나보다 더 무겁지 않아.,그녀가 나보다 더 유명하지 않아.,이것은 the 제일 나쁜 점수가 아니다.,그가 the 세계에서 the 최고의 가수가 아니다.,그녀는 한국에서 the 가장 유명한 가수가 아니다.,난 내가 한국에서 the 가장 인기 있는 피아니스트라고 생각하지 않아.,넌 내가 사고 싶어 하는 것을 알고 있니? ,내가 나의 용돈을 숨기는 the 장소 ,난 그들이 나를 도와준 the 날을 기억한다.,그가 얼마나 키 큰지,난 a개가 나의 엄마처럼 우는지 아닌지 몰라.,넌 그녀가 그 퍼즐을 어떻게 풀었다고 생각하니?,나의 나라는 한국보다 춥지 않아요.,난 그 강도를 주먹으로 때리려고 여기 머무르려고 해.,넌 매일 아침 그들에게 아침 인사를 하지 않니?,넌 내가 먹고 싶은 것을 나에게 사 줄 거니?
6,그가 a 깡마른 소년이니? ,너의 엄마가 좋으신 분이니?,그가 지난달엔 a 느린 소년이었니?,그들은 그녀보다 더 똑똑하니?,그녀가 그들보다 훨씬 더 현명하니?,그녀가 공기보다 더 가볍니?,이 아이스크림이 저 사과보다 훨씬 더 낫니?,너의 할아버지가 the 세상에서 the 제일 인기 있는 가수니?,그의 노래가 한국에서 the 최고의 노래니?,저것이 a 맛이 짠 복숭아니?,넌 이것이 a 멋진 결정인 것을 알고 있니?,난 네가 사고 싶어 하는 것을 알고 있다. ,내가 화장을 하는 the 장소,그들이 처음 싸운 the 시간,난 그가 얼마나 키 큰지 몰라.,넌 그녀가 내일 여기에 올지 안 올지 알고 있니?,넌 그들이 누구를 도와 줄 거라고 생각하니?,나의 나라는 한국보다 훨씬 추워요.,난 그 강도를 주먹으로 때리지 않으려고 한다.,그들은 매일 저녁 너에게 저녁 인사를 하지 않는다.,난 네가 먹고 싶은 것을 너에게 사 줄 거다.
7,그는 a 깡마른 소년이 아니다.,나의엄마는 아주 좋으신 분이다.,그가 지난달엔 a 느린 소년이 아니었다.,그들은 그녀보다 더 똑똑하다.,그녀가 그들보다 훨씬 더 현명하다.,그녀는 공기보다 더 가볍지 않다.,이 아이스크림이 저 사과보다 훨씬 더 낫지 않아.,나의 할아버지가 the 세상에서 the 제일 인기 있는 가수가 아니다.,그의 노래가 한국에서 the 최고의 노래가 아니다.,저것은 a 맛이 짠 복숭아가 아니다.,난 이것이 a 멋진 결정인 것을 알고 있다.,난 네가 사고 싶어 하는 것을 몰라. ,네가 여기에 사는 the 이유 ,내가 술을 어떻게 끊는지,넌 몇 살이니?,난 그녀가 내일 여기에 올지 안 올지 몰라.,넌 그가 언제 그녀를 초대했다고 생각하니?,넌 네가 예쁘다고 생각하니?,the 펜스를 넘고 the 강아지를 구하자!,그녀는 매일 밤 너에게 ‘잘 가’라는 인사를 하지 않니?,네가 그 문제를 어떻게 해결했는지 나에게 설명 해 봐라!
8,그는 a 깡마른 소년이다.,나의 엄마는 아주 좋으신 분은 아니야.,그는 지난달엔 a 느린 소년이었다.,그들은 그녀보다 더 똑똑하지 않아.,그녀가 그들보다 훨씬 더 현명하지 않아.,그녀는 공기보다 더 가벼워.,이 아이스크림이 저 사과보다 훨씬 더 나아.,나의 할아버지는 the 세상에서 the 제일 인기 있는 가수다.,그의 노래가 한국에서 the 최고의 노래다.,저것은 맛이 짠 복숭아다.,난 이것이 a 멋진 결정인 것을 모른다.,네가 지난밤에 무엇을 먹었는지,네가 나에게 돈을 빌려주는 the 이유 ,내가 a 달리는 말 위에서 어떻게 춤을 추는지,네가 몇 살인지,넌 그가 a 실수를 했는지 안 했는지 알고 있니?,넌 내가 무엇을 했다고 생각하니?,난 내가 예쁘다고 생각해.,the 펜스를 넘는 것이 불가능하다고 난 생각한다.,그는 the 터널을 통과해서 the 호수에 간다.,"사실, 그 문제 해결하는 것은 정말 어려웠다."
9,너의 엄마가 지금 화가 났니?,그 산이 아주 높니?,너의 엄마가 어제 화가 났었니?,너의 방은 나의 방보다 더 따뜻하니?,너의 얼굴이 나의 얼굴 보다 훨씬 더 따뜻하니?,"옛날에, 이 언덕이 저 언덕보다 더 낮았니?",저 강이 이 해변보다 더 위험하니?,이것이 이 도서관에서 the가장 흥미로운 책이니?,너 지금 졸리니?,저곳이 이곳보다 훨씬 더 깊니? ,넌 너의 방이 나의 방보다 더 좋다고 생각하니?,네가 지난밤에 무엇을 먹었는지 나에게 말해라.,네가 그녀를 사랑하는 the 이유 ,네가 여학생s들 앞에서 어떻게 행동하는지,난 네가 몇 살인지 그녀에게 말할 것이다.,난 그가 a 실수를 했는지 안 했는지 몰라.,넌 그들이 어떻게 나 없이 공부할 수 있다고 생각하니?,난 내가 예쁘다고 생각하지 않아.,그녀가 저 거대한 주전자 속에서 수영하고 있니?,그는 a 붉은 신호를 무시하고 차를 몰지 않는다.,난 아빠가 나에게 원하는 게 뭔지 몰라. 
